54.251.34.67 - - [10/Jun/2015:22:20:57 +0000] "HEAD / HTTP/1.1" 200 0 "-" "NewRelicPinger/1.0 (593863)"
89.25.60.79 - - [10/Jun/2015:22:20:56 +0000] "GET / HTTP/1.1" 200 21132 "http://www.gobankingrates.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
97.82.202.72 - - [10/Jun/2015:22:20:56 +0000] "POST /ngx_pagespeed_beacon?url=http%3A%2F%2Fwww.gobankingrates.com%2Fbanking%2Ffinancial-institutions%2Fupstate-credit-union%2F HTTP/1.1" 204 0 "http://www.gobankingrates.com/banking/financial-institutions/upstate-credit-union/" "Mozilla/5.0 (Linux; Android 4.4.4; XT1080 Build/SU6-7.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.92 Mobile Safari/537.36"
63.119.226.34 - - [10/Jun/2015:19:40:21 +0000] "OPTIONS /personal-finance/15-ways-enjoy-cheap-staycation/ HTTP/1.1" 200 83121 "-" "Microsoft Office Protocol Discovery"
98.217.63.220 - - [10/Jun/2015:18:15:07 +0000] "GET /d7518f77-7417-bb45-8b08-08431697a920/46ca085e-eba3-0847-a914-3aa21c00cf2d/from/ HTTP/1.1" 301 5 "http://www.gobankingrates.com/personal-finance/32-brands-lifetime-warranties/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
173.17.62.175 - - [10/Jun/2015:18:15:08 +0000] "GET /community-choice-credit-union-central-iowa/ HTTP/1.1" 301 5 "http://www.gobankingrates.com/banking/top-iowa-banks-credit-unions/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
207.114.153.6 - - [10/Jun/2015:18:15:08 +0000] "GET /find-checking-accounts/ HTTP/1.1" 404 11514 "http://www.gobankingrates.com/banking/find-cds-now/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
207.114.153.6 - - [10/Jun/2015:18:15:08 +0000] "GET /find-checking-accounts/ HTTP/1.1" 404 10089 "http://www.gobankingrates.com/banking/find-cds-now/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
50.139.219.129 - - [10/Jun/2015:18:15:08 +0000] "GET /find-best-personal-loan-source05/?subid=np3 HTTP/1.1" 200 8069 "http://wisersaver.com/blog/paycheck-to-paycheck/?source=np&utm_source=taboola" "Mozilla/5.0 (Linux; Android 4.4.4; XT1028 Build/KXB21.14-L1.41) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36"
207.114.153.6 - - [10/Jun/2015:18:15:08 +0000] "GET /wp-content/themes/gbr/yourip.php?var=0.8707410672213882 HTTP/1.1" 200 44 "http://www.gobankingrates.com/find-checking-accounts/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
24.236.207.115 - - [10/Jun/2015:18:15:09 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 122 "http://www.gobankingrates.com/banking/5-bank-services-obsolete-10-years/?utm_source=taboola&utm_medium=cpc&utm_content=latimes" "Mozilla/5.0 (Windows NT 5.2; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
74.143.105.130 - - [10/Jun/2015:18:15:09 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 36 "http://www.gobankingrates.com/personal-finance/first-thing-should-social-security-check/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
